"id","cart_id","customer_id","shipping_address_id","order_date","status","warehouse_id"
4,1,2,2,"2024-05-05 12:03:42",PROCESSING,1
5,2,2,2,"2024-05-11 00:31:02",PROCESSING,11
6,3,3,4,"2024-05-11 00:31:02",PROCESSING,10
7,4,4,5,"2024-05-11 00:31:02",PROCESSING,9
8,5,5,6,"2024-05-11 00:31:02",SHIPPED,2
9,6,6,7,"2024-05-11 00:31:02",PROCESSING,11
10,7,2,2,"2024-05-11 00:33:01",PROCESSING,12
11,8,3,4,"2024-05-11 00:33:01",PROCESSING,12
12,9,4,5,"2024-05-11 00:33:01",PROCESSING,10
13,10,5,6,"2024-05-11 00:33:01",PROCESSING,3
14,11,6,7,"2024-05-11 00:33:01",PROCESSING,12
